addr,bank,kind,canonical_addr,canonical_bank,covering_addr,covering_bank,evidence_count,source_flags_hex,source_flags
D9AE,7,standalone,D9AE,7,D9AE,7,1,0x02,ptr_scan
DAAD,7,standalone,DAAD,7,DAAD,7,2,0x02,ptr_scan
DAAE,7,standalone,DAAE,7,DAAE,7,1,0x02,ptr_scan
DBAD,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
DBAE,7,standalone,DBAE,7,DBAE,7,1,0x02,ptr_scan
DCAD,7,standalone,DCAD,7,DCAD,7,1,0x02,ptr_scan
DCAE,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
DDAD,7,standalone,DDAD,7,DDAD,7,1,0x02,ptr_scan
DDAE,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
DEAD,7,secondary,CF8A,7,CF8A,7,1,0x02,ptr_scan
DEAE,7,standalone,DEAE,7,DEAE,7,1,0x02,ptr_scan
E0AD,7,secondary,E099,7,E099,7,1,0x02,ptr_scan
E1AE,7,secondary,E18C,7,E18C,7,1,0x02,ptr_scan
E2AD,7,standalone,E2AD,7,E2AD,7,1,0x02,ptr_scan
E2AE,7,standalone,E2AE,7,E2AE,7,1,0x02,ptr_scan
E3AD,7,standalone,E3AD,7,E3AD,7,2,0x02,ptr_scan
E3AE,7,standalone,E3AE,7,E3AE,7,1,0x02,ptr_scan
E4AE,7,standalone,E4AE,7,E4AE,7,1,0x02,ptr_scan
E5AE,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
E6AE,7,standalone,E6AE,7,E6AE,7,1,0x02,ptr_scan
E7AE,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
E8AE,7,standalone,E8AE,7,E8AE,7,1,0x02,ptr_scan
E9AD,7,standalone,E9AD,7,E9AD,7,1,0x02,ptr_scan
E9AE,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
EAAE,7,standalone,EAAE,7,EAAE,7,1,0x02,ptr_scan
EBAD,7,standalone,EBAD,7,EBAD,7,1,0x02,ptr_scan
EBAE,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
ECAE,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
EDAE,7,secondary,E449,7,E449,7,1,0x02,ptr_scan
